Protocol,Packet_Count,Total_Bytes,Avg_PIAT,Label
89,2,152,10016.334056854248,1
17,3,228,1322.5330114364624,1
17,3,193,1324.5404958724976,1
17,2,126,2356.5778732299805,1
17,2,126,2649.0790843963623,1
17,2,138,2356.5778732299805,1
17,2,150,2649.0800380706787,1
89,2,152,10000.779867172241,1
17,2,150,2356.5781116485596,1
17,2,150,2647.0730304718018,1
17,2,138,2358.5848808288574,1
17,2,134,5005.156993865967,1
17,3,216,2502.8284788131714,1
89,2,152,9985.225915908813,1
17,3,228,2502.8289556503296,1
17,4,264,1668.5527165730794,1
17,4,252,1668.38534673055,1
17,4,288,1668.385664621989,1
89,2,152,10000.78010559082,1
17,4,300,1668.5526371002197,1
17,2,146,5006.160020828247,1
17,2,134,5005.15604019165,1
17,2,146,5005.658149719238,1
89,2,152,10016.333103179932,1
17,2,158,5005.658864974976,1
17,2,146,5005.656957626343,1
17,2,134,5005.1429271698,1
17,2,146,5005.657911300659,1
89,2,152,10000.78010559082,1
17,2,158,5005.656957626343,1
17,2,146,5005.658149719238,1
17,2,134,5002.647161483765,1
17,2,146,5005.658864974976,1
89,2,152,10000.781059265137,1
17,2,158,5005.658149719238,1
17,2,146,5006.159782409668,1
17,2,134,5005.15604019165,1
17,2,146,5005.658149719238,1
89,2,152,9985.227108001709,1
17,2,158,5005.657911300659,1
17,2,146,5006.1609745025635,1
89,21,1344,100.946044921875,1
17,2,134,5005.155086517334,1
89,21,1344,101.02130174636841,1
89,21,1344,101.09655857086182,1
17,2,146,5005.657911300659,1
89,21,1344,101.07145309448242,1
89,21,1344,100.89585781097412,1
89,2,152,10000.78010559082,1
89,21,1344,100.99616050720215,1
17,2,158,5003.14998626709,1
89,21,1344,101.07145309448242,1
89,21,1344,100.99624395370483,1
17,2,146,5006.160020828247,1
89,21,1344,100.99619626998901,1
89,21,1344,101.07150077819824,1
17,2,134,5005.15604019165,1
89,21,1344,100.97105503082275,1
89,21,1344,101.09649896621704,1
89,21,1344,101.49790048599243,1
17,2,146,5005.656957626343,1
89,21,1344,101.09649896621704,1
89,2,152,10016.332864761353,1
89,21,1344,101.12154483795166,1
17,2,158,5005.659103393555,1
89,21,1344,101.07150077819824,1
89,21,1344,100.89584589004517,1
89,21,1344,100.89579820632935,1
17,2,146,5005.657911300659,1
89,21,1344,101.04635953903198,1
89,21,1344,100.89579820632935,1
17,2,134,5005.156993865967,1
89,21,1344,101.69860124588013,1
89,21,1344,100.94599723815918,1
17,2,146,5005.15604019165,1
89,21,1344,100.94605684280396,1
89,2,152,10000.781059265137,1
89,21,1344,100.99620819091797,1
89,21,1344,100.9711503982544,1
17,2,158,5005.658149719238,1
89,21,1344,101.07144117355347,1
89,21,1344,100.89585781097412,1
17,2,146,5005.15604019165,1
89,21,1344,100.94599723815918,1
89,21,1344,100.92090368270874,1
17,2,134,5005.156993865967,1
89,21,1344,100.97110271453857,1
89,21,1344,100.99619626998901,1
89,21,1344,100.99619626998901,1
17,2,146,5005.657911300659,1
89,21,1344,101.07139348983765,1
89,2,152,10000.779867172241,1
89,21,1344,101.09654664993286,1
17,2,158,5005.658149719238,1
89,21,1344,101.12165212631226,1
89,21,1344,101.14669799804688,1
17,2,146,5006.159067153931,1
89,21,1344,101.09649896621704,1
89,21,1344,101.09649896621704,1
89,21,1344,101.09654664993286,1
17,2,134,5005.156993865967,1
89,21,1344,101.07145309448242,1
89,21,1344,100.87075233459473,1
17,2,146,5000.138998031616,1
89,21,1344,100.99619626998901,1
89,2,152,10000.779151916504,1
89,21,1344,101.07150077819824,1
17,2,158,5005.657911300659,1
89,21,1344,100.97109079360962,1
89,21,1344,100.94605684280396,1
89,21,1344,100.94599723815918,1
17,2,146,5006.160020828247,1
89,21,1344,101.09649896621704,1
89,21,1344,101.07139348983765,1
17,2,134,5005.15604019165,1
89,21,1344,101.07144117355347,1
89,21,1344,101.42265558242798,1
89,21,1344,100.89584589004517,1
17,2,146,5005.156993865967,1
89,21,1344,100.97110271453857,1
89,2,152,10000.779867172241,1
89,21,1344,100.94599723815918,1
17,2,158,5005.657911300659,1
89,21,1344,100.92090368270874,1
89,21,1344,101.07145309448242,1
17,2,146,5006.160020828247,1
89,21,1344,100.94600915908813,1
89,21,1344,100.87080001831055,1
89,21,1344,101.07145309448242,1
17,2,134,5005.15604019165,1
89,21,1344,101.12165212631226,1
89,21,1344,101.02130174636841,1
17,2,146,5005.657911300659,1
89,21,1344,100.97105503082275,1
89,2,152,10000.779867172241,1
89,21,1344,101.0464072227478,1
17,2,158,5003.149032592773,1
89,21,1344,101.02125406265259,1
89,21,1344,100.946044921875,1
89,21,1344,100.92089176177979,1
17,2,146,5006.159067153931,1
89,21,1344,101.04635953903198,1
